Stock,Date of gap up,Gap up percentage
ABB.NS,2020-06-01,10.366143690166275
ABB.NS,2022-05-05,10.258390701846897
ABB.NS,2024-02-21,10.171293962040004
ADANIENSOL.NS,2023-11-28,18.653134625426958
ADANIENSOL.NS,2023-12-05,19.995574833038084
ADANIENSOL.NS,2024-01-03,11.365241239534491
ADANIENSOL.NS,2024-03-14,11.24532256430969
ADANIGREEN.NS,2022-04-11,14.785614499146082
ADANIGREEN.NS,2022-07-11,14.906303886322227
ADANIGREEN.NS,2022-09-30,12.811556285739242
ADANIGREEN.NS,2023-11-28,12.250775287679984
ADANIGREEN.NS,2023-12-05,20.0
ADANIGREEN.NS,2023-12-06,15.939929638255467
ADANIPOWER.NS,2020-04-20,12.459548313913047
ADANIPOWER.NS,2020-05-19,14.239481141908037
ADANIPOWER.NS,2020-05-26,11.21212352405895
ADANIPOWER.NS,2020-12-03,19.933554143605985
ADANIPOWER.NS,2020-12-04,10.064629353034407
ADANIPOWER.NS,2021-06-07,20.000001442911493
ADANIPOWER.NS,2021-06-08,19.582346867863038
ADANIPOWER.NS,2022-02-10,14.079927268328573
ADANIPOWER.NS,2022-02-25,11.605939135210372
ADANIPOWER.NS,2022-03-29,13.990149787689859
ADANIPOWER.NS,2023-11-28,12.33635410224003
ADANIPOWER.NS,2023-12-05,15.805898488831566
ATGL.NS,2020-02-20,12.473379518518609
ATGL.NS,2020-11-17,19.452387183639686
ATGL.NS,2020-11-18,18.06364027217964
ATGL.NS,2021-02-15,11.60633272274243
ATGL.NS,2021-02-16,16.40707009957901
ATGL.NS,2021-03-03,15.40136062808291
ATGL.NS,2021-03-22,10.808977551332655
ATGL.NS,2021-04-01,10.340704750487646
ATGL.NS,2022-06-21,19.791874162270062
ATGL.NS,2023-11-28,19.973926354740026
ATGL.NS,2023-11-29,13.714680830764067
ATGL.NS,2023-12-05,19.88391609230966
ATGL.NS,2023-12-06,19.986339137855534
ATGL.NS,2024-03-14,11.489116585677978
DMART.NS,2022-05-16,10.2302974682559
BAJAJHLDNG.NS,2022-09-08,10.319189424908979
BANKBARODA.NS,2020-03-13,15.35745227520929
BANKBARODA.NS,2021-01-12,10.116731517509727
BANKBARODA.NS,2021-02-18,13.598580751344974
BERGEPAINT.NS,2020-03-20,11.533219695105497
BEL.NS,2020-03-20,10.45701019330853
BEL.NS,2021-06-23,11.294577722843451
BOSCHLTD.NS,2020-03-25,10.226198111738112
BOSCHLTD.NS,2020-07-07,11.994804560531454
BOSCHLTD.NS,2021-10-06,11.65838906258106
CANBK.NS,2020-05-13,11.59147825345383
CANBK.NS,2020-12-08,16.695058108496358
CHOLAFIN.NS,2020-03-25,10.230453538744486
CHOLAFIN.NS,2020-04-08,15.517241379310345
CHOLAFIN.NS,2020-04-09,13.930348258706468
CHOLAFIN.NS,2020-04-17,10.790472312189092
CHOLAFIN.NS,2020-05-27,10.81081469500136
CHOLAFIN.NS,2020-06-19,10.56179946727967
CHOLAFIN.NS,2021-02-01,11.335931987338254
CHOLAFIN.NS,2021-02-15,13.701849083261179
CHOLAFIN.NS,2021-08-02,10.656860159123752
DLF.NS,2020-03-26,11.591268571073602
DLF.NS,2021-02-01,10.256409184279882
DLF.NS,2021-09-22,11.59660543402971
DABUR.NS,2020-04-07,11.629266343989757
GAIL.NS,2020-03-20,16.426509760581848
GODREJCP.NS,2021-05-12,21.872376530150575
HAVELLS.NS,2021-01-21,10.959165228861938
HAL.NS,2020-06-25,13.382952369953143
HAL.NS,2020-07-06,11.907554797381762
HAL.NS,2020-07-17,11.186901527656467
HAL.NS,2020-08-13,17.27854910212988
ICICIGI.NS,2020-03-25,15.747105949555893
ICICIGI.NS,2020-03-26,11.355909968513556
ICICIGI.NS,2020-04-07,10.468388807447685
ICICIPRULI.NS,2020-03-25,25.93830459829566
ICICIPRULI.NS,2020-04-17,10.482307141623524
ICICIPRULI.NS,2020-04-27,12.167586894170967
IRCTC.NS,2020-02-04,12.935204399888967
IRCTC.NS,2020-02-13,11.665790833879786
IRCTC.NS,2020-02-19,11.796656755189558
IRCTC.NS,2020-12-04,13.972646787997325
IRCTC.NS,2021-03-01,10.161114571036075
IRCTC.NS,2021-10-14,10.849491774098595
IRCTC.NS,2021-10-28,10.589199859668579
IRCTC.NS,2023-12-18,12.588852135695106
IRFC.NS,2023-08-03,12.594458196251662
IRFC.NS,2023-08-07,10.432854256461297
IRFC.NS,2023-09-01,11.055775204604933
IRFC.NS,2023-09-04,19.64125013137612
IRFC.NS,2023-12-14,10.958085659735218
IRFC.NS,2024-01-16,25.08818712065376
IRFC.NS,2024-02-13,15.419330929342337
IRFC.NS,2024-03-14,12.877263581488934
NAUKRI.NS,2020-03-26,10.93912348403605
NAUKRI.NS,2020-04-07,17.514268505531263
NAUKRI.NS,2021-01-05,13.693315538521897
NAUKRI.NS,2022-01-31,11.227609361267056
INDIGO.NS,2020-03-25,10.339935889605327
INDIGO.NS,2020-08-12,10.099507470692538
INDIGO.NS,2020-08-13,12.222700227515311
INDIGO.NS,2021-09-17,10.92002302741161
INDIGO.NS,2022-05-26,10.363681477083027
JINDALSTEL.NS,2020-03-20,12.41935812016969
JINDALSTEL.NS,2020-04-07,28.899445065763206
JINDALSTEL.NS,2020-05-26,12.991721790885874
JIOFIN.NS,2024-02-05,13.908590475690039
JIOFIN.NS,2024-02-23,10.269111928921504
PFC.NS,2020-03-13,13.329645229987952
PFC.NS,2023-09-08,12.231012794776932
PNB.NS,2020-03-13,10.8148193359375
PNB.NS,2020-12-08,13.566429298240823
RECLTD.NS,2020-05-13,12.465057174826313
RECLTD.NS,2023-09-08,10.01832235348875
MOTHERSON.NS,2020-04-09,17.526689595753115
MOTHERSON.NS,2020-04-15,12.668247939724134
MOTHERSON.NS,2020-04-16,14.546730076934173
MOTHERSON.NS,2021-02-12,10.039042144189617
MOTHERSON.NS,2021-06-02,13.40075861284464
MOTHERSON.NS,2022-01-14,28.55027068838305
SIEMENS.NS,2020-11-26,11.174634500412314
TVSMOTOR.NS,2021-04-28,14.038495799696904
TATAPOWER.NS,2020-04-07,11.608630021996822
TATAPOWER.NS,2021-10-13,14.504593183779019
TATAPOWER.NS,2021-10-18,15.588490897577334
TATAPOWER.NS,2023-12-07,10.759814568489322
TORNTPHARM.NS,2020-04-07,13.353399020522389
TORNTPHARM.NS,2022-05-26,10.101332071180314
TRENT.NS,2020-02-07,11.709663642865596
TRENT.NS,2020-03-25,10.435215836781968
TRENT.NS,2020-03-26,11.005372419339396
TRENT.NS,2020-06-23,12.108809236164792
TRENT.NS,2024-02-07,18.86326194398682
MCDOWELL-N.NS,2020-01-28,13.9308685958808
VBL.NS,2020-11-27,12.069956860242321
VEDL.NS,2020-04-30,13.13961001311986
VEDL.NS,2020-05-12,11.871865274858049
VEDL.NS,2021-10-18,12.910517291808093
VEDL.NS,2022-05-17,11.788266349648024
VEDL.NS,2022-09-14,10.106294197162805
ZOMATO.NS,2021-07-26,11.626979282924108
ZOMATO.NS,2022-05-24,13.847498364293898
ZOMATO.NS,2022-05-30,14.50443823587002
ZOMATO.NS,2022-08-02,19.978402057069356
ZOMATO.NS,2022-11-11,13.838940083245701
ZOMATO.NS,2023-02-08,10.0303969928899
ZOMATO.NS,2023-08-04,10.225301169346812
ZYDUSLIFE.NS,2020-03-20,16.249737928675138
ZYDUSLIFE.NS,2020-04-07,13.74726844899247
ZYDUSLIFE.NS,2020-04-08,12.005762531527584
